power,temperature,fuel_flow,air_flow
450,82.63092254,3.65E-02,3.302592263
450,81.24639447,3.65E-02,3.302592263
450,83.46442968,3.65E-02,3.302592263
450,82.0141897,3.65E-02,3.302592263
450,84.17029815,3.65E-02,3.302592263
450,82.6647085,3.65E-02,3.302592263
450,84.76865249,3.65E-02,3.302592263
450,83.21622927,3.65E-02,3.302592263
450,85.2758239,3.65E-02,3.302592263
450,83.68383597,3.65E-02,3.302592263
450,85.70645116,3.65E-02,3.302592263
450,84.16894837,3.65E-02,3.302592263
450,86.28462302,3.65E-02,3.302592263
450,84.73717783,3.65E-02,3.302592263
450,86.80378684,3.65E-02,3.302592263
450,85.22273375,3.65E-02,3.302592263
450,87.25340691,3.65E-02,3.302592263
450,85.6144052,3.65E-02,3.302592263
450,87.53383289,3.65E-02,3.302592263
450,85.77158125,3.65E-02,3.302592263
450,87.62231013,3.65E-02,3.302592263
450,85.84320313,3.65E-02,3.302592263
450,87.69074182,3.65E-02,3.302592263
450,85.90907031,3.65E-02,3.302592263
450,87.75407001,3.65E-02,3.302592263
450,85.97058097,3.65E-02,3.302592263
450,87.81532847,3.65E-02,3.302592263
450,86.03143415,3.65E-02,3.302592263
450,87.87478163,3.65E-02,3.302592263
450,86.089746,3.65E-02,3.302592263
450,91.00753871,3.65E-02,3.302592263
450,86.18147575,3.65E-02,3.302592263
450,90.9973634,3.65E-02,3.302592263
450,86.21933876,3.65E-02,3.302592263
450,91.1301567,3.65E-02,3.302592263
450,86.29515359,3.65E-02,3.302592263
450,91.19828182,3.65E-02,3.302592263
450,86.3598482,3.65E-02,3.302592263
450,91.26293624,3.65E-02,3.302592263
450,86.4205433,3.65E-02,3.302592263
450,91.31708268,3.65E-02,3.302592263
150,158.1224823,1.63E-02,2.04815458
150,158.1732419,1.63E-02,2.04815458
150,158.1170428,1.63E-02,2.04815458
150,158.1667851,1.63E-02,2.04815458
150,158.117008,1.63E-02,2.04815458
150,167.9425121,1.72E-02,1.690613851
150,167.5782794,1.72E-02,1.69064719
150,167.2939619,1.72E-02,1.690677805
150,166.964339,1.72E-02,1.69070572
150,166.5770272,1.72E-02,1.690730976
150,166.0774359,1.72E-02,1.69075357
150,165.592474,1.72E-02,1.690773534
150,165.1311657,1.72E-02,1.690785411
150,164.6185714,1.72E-02,1.690796118
150,164.1857848,1.72E-02,1.690805705
150,163.7837868,1.72E-02,1.69081414
150,163.3795209,1.72E-02,1.690821465
150,162.9788507,1.72E-02,1.690827657
150,162.6998728,1.72E-02,1.690831579
150,162.696818,1.72E-02,1.690834883
150,162.6935752,1.72E-02,1.690837547
150,162.6901448,1.72E-02,1.690839614
150,162.6865275,1.72E-02,1.690841066
150,162.682724,1.72E-02,1.690841894
150,162.6787347,1.72E-02,1.69084213
150,162.6745603,1.72E-02,1.690841761
150,162.6702016,1.72E-02,1.690840776
150,162.6656589,1.72E-02,1.690839209
150,162.660933,1.72E-02,1.690837031
150,162.6560244,1.72E-02,1.690834279
150,162.6526508,1.72E-02,1.690832116
150,162.6491965,1.72E-02,1.690829692
150,162.6456617,1.72E-02,1.690826995
150,162.6420465,1.72E-02,1.690824052
150,162.638351,1.72E-02,1.690820853
150,162.6345755,1.72E-02,1.690817397
150,162.638351,1.72E-02,1.690820853
150,162.6420465,1.72E-02,1.690824052
150,162.6456617,1.72E-02,1.690826995
150,162.6491965,1.72E-02,1.690829692
150,162.6526508,1.72E-02,1.690832116
150,162.6560244,1.72E-02,1.690834279
150,162.6671935,1.72E-02,1.690839796
