Qin(MMBtu/h),Qch(MMBtu/h)
0.731749465,0.557337866
0.929217727,0.706703429
0.889873549,0.676670046
0.87668971,0.666702105
0.693734026,0.528889847
0.72689741,0.554063237
0.74206595,0.56558787
0.939500727,0.715087364
0.898038922,0.68323332
0.883795017,0.672358898
0.69957976,0.533471206
0.733427973,0.559125265
0.748623728,0.570642411
0.946569044,0.720646155
0.903996553,0.687854322
0.889511568,0.676762482
0.704450584,0.537163275
0.73874306,0.563093771
0.754166851,0.574735024
0.952815239,0.725293808
0.909087353,0.691515377
0.893929395,0.679862809
0.708106245,0.539725305
0.742780134,0.565965567
0.758018421,0.577494034
0.95634194,0.727871718
0.91123729,0.693047023
0.895167787,0.680719586
0.709115408,0.540432887
0.744042975,0.566870628
0.759155221,0.578311443
0.956432806,0.727900888
0.909768554,0.69189408
0.892750189,0.678855907
0.707514182,0.539210687
0.743017077,0.566087353
0.758392667,0.577729134
0.954446339,0.726356855
0.906450777,0.68935524
0.88879686,0.675845491
0.98472695,0.749566649
0.984861327,0.749616672
0.921729046,0.700804636
0.891672782,0.67784284
0.880287131,0.669200026
0.875793895,0.665808236
0.695845486,0.530300471
0.732314588,0.557945123
0.748886471,0.57050941
0.939719842,0.714942558
0.887338481,0.674760652
0.865424827,0.658087188
0.853798711,0.649272887
0.844951194,0.642581691
0.83670288,0.636354935
0.831870977,0.632557184
0.827991173,0.629383925
0.824601273,0.626655988
0.98554064,0.749499818
0.985479603,0.749572376
0.896235655,0.680994252
0.85676087,0.651112048
0.844436621,0.641877943
0.840207258,0.638756682
0.837949777,0.637100554
0.836516552,0.636047689
0.835277053,0.635136517
0.834113531,0.634278896
0.833000378,0.633456259
0.832110741,0.632654872
0.831483904,0.631958046
0.830811174,0.631288509
0.830092504,0.630629793
0.829340224,0.629978935
0.828555844,0.629328108
0.827760679,0.628686833
0.826923968,0.628062647
0.826051852,0.627443327
0.825237862,0.626858791
0.824462623,0.62629696
0.823666686,0.62571466
