fuel_flow,power
0.0145,165
0.0145,165
0.0145,165
0.0145,165
0.0145,165
0.0146,165.6666667
0.0146,166
0.0146,166
0.0146,166
0.0146,166
0.0146,166
0.0146,166
0.0147,167
0.0147,167
0.0147,167
0.0147,167
0.0147,167
0.0147,167
0.0147,168
0.0147,168
0.0147,168
0.0147,168
0.0147,168
0.0147,168
0.0148,169
0.0148,169
0.0148,169
0.0148,169
0.0148,169
0.0148,169
0.0149,170
0.0149,170
0.0149,170
0.0149,170
0.0149,170
0.0149,170
0.015,171
0.015,171
0.015,171
0.015,171
0.015,171
0.015,171
0.0151,172
0.0151,172
0.0151,172
0.0151,172
0.0151,172
0.0151,172
0.0152,173
0.0152,173
0.0152,173
0.0152,173
0.0152,173
0.0152,173.8
0.0152,174
0.0152,174
0.0152,174
0.0152,174
0.0152,174
0.0152,174
0.0153,175
0.0153,175
0.0153,175
0.0153,175
0.0153,175
0.0153,175
0.0154,176
0.0154,176
0.0154,176
0.0154,176
0.0154,176
0.0154,176
0.0155,177
0.0155,177
0.0155,177
0.0155,177
0.0155,177
0.0155,177
0.0156,178
0.0156,178
0.0156,178
0.0156,178
