Qch(tons),P(kW)
2.379056609,0.907012811
2.379056609,0.903465102
2.379056609,0.905262103
2.379056609,0.906527708
2.379056609,0.907278803
2.379056609,0.907724997
2.379056609,0.908094652
2.379056609,0.908457753
2.379056609,0.905962948
2.379056609,0.906888836
2.379056609,0.907875039
2.379056609,0.908333334
2.379056609,0.908525111
2.379056609,0.908560297
2.379056609,0.908405361
2.379056609,0.904016152
2.379156792,0.906316468
2.379078958,0.907462222
2.379069286,0.908106776
2.3790638,0.908467164
2.379060688,0.905020859
2.379058923,0.903772215
2.379057922,0.905775671
2.379057354,0.906894323
2.379057031,0.904090507
2.379056849,0.903441911
2.379056745,0.905758526
2.379056686,0.906945486
2.379056653,0.904156002
2.379056634,0.903510466
2.379056623,0.905828114
2.379056617,0.907015353
2.379056614,0.904225364
2.379056612,0.903579646
2.379056611,0.905897592
2.393648687,0.9126551
2.534840868,0.967250802
2.701481324,1.031351981
2.879156731,1.09967242
3.251601876,1.242224661
3.799126555,1.451547004
4.309221709,1.646606094
4.763111025,1.820296375
5.179836845,1.979934768
5.429345263,2.075674393
5.63281455,2.15389756
5.892892379,2.253945607
6.195310557,2.370385532
6.483856906,2.471491299
6.75421391,2.57197745
7.003192187,2.659356148
7.247784429,2.762344678
7.468179147,2.840954993
7.671835645,2.918190242
7.869467047,3.002085721
8.103637317,3.07896591
7.70638543,2.93284145
7.737266794,2.95119446
7.528876529,2.875525478
7.575014317,2.89620169
7.602327729,2.908371997
7.663183014,2.9211894
7.57807651,2.875712803
7.448470681,2.829214563
7.269407728,2.770245872
7.073406667,2.700918112
6.875056875,2.617965218
6.67290336,2.539268518
6.497315061,2.47946306
6.293332685,2.395280179
6.039310604,2.296878237
5.900155784,2.250162457
5.785116529,2.209433897
5.681875872,2.171335526
5.793476529,2.214705646
6.036693389,2.308409385
6.468838054,2.474695997
6.953018084,2.650312879
7.459607888,2.841154567
7.974021122,3.034140118
7.996223603,3.042760639
7.91999666,3.0224106
7.782830515,2.974445321
7.606066812,2.909317687
7.413016978,2.836806779
7.213437777,2.750094205
7.390721216,2.814331618
7.585152742,2.895407011
7.778859443,2.973707716
7.980423545,3.053744437
8.197531584,3.126121843
8.420248353,3.207764037
8.296702703,3.168401453
8.107550281,3.087784734
7.884445863,3.00123113
7.634541602,2.902792442
7.368648325,2.802400256
7.093103798,2.706468667
7.007341502,2.667331094
6.795611533,2.586632735
6.53043157,2.492089489
6.284059344,2.400969464
6.124692013,2.341520574
6.013104192,2.299499165
5.619010504,2.14889385
5.152944088,1.970552673
4.634204077,1.771918528
4.071752035,1.556477474
3.467633731,1.325079579
2.882134341,1.100865918
2.745828527,1.048817161
2.749233257,1.046113447
2.85190905,1.083784207
2.995526577,1.1410402
3.168428094,1.2085993
3.354444332,1.280713095
3.292196207,1.252417372
3.179359581,1.208322589
3.030135343,1.154544305
2.864286757,1.088331482
2.629144885,1.003832225
2.544676592,0.969629119
2.535407966,0.965472971
2.545239901,0.966911424
2.586736325,0.982161886
2.657871567,1.011857771
2.737227177,1.043523358
2.820657249,1.072122488
3.106400891,1.18013025
3.425577717,1.30505654
3.757798874,1.433940185
4.094415245,1.564072007
4.430840216,1.693416323
4.763152424,1.820786313
4.861694727,1.858574893
4.912045952,1.877920688
4.935833354,1.887105346
4.944273695,1.890418801
4.94411293,1.89044033
4.93927135,1.888668765
5.001268967,1.912517497
5.078733634,1.942311928
5.165228621,1.975594971
5.256871496,2.01088445
5.351658479,2.039008059
5.566772931,2.122222872
5.821252731,2.21682421
5.985539916,2.281336274
5.992325631,2.28750791
6.108484723,2.334086189
6.18213134,2.363736789
6.478480333,2.473722744
7.224638639,2.748408783
7.319511995,2.789917351
7.961094569,3.02876255
8.441970265,3.212633203
8.947663414,3.415993947
9.698347095,3.7100409
10.35221398,3.943473162
11.14082473,4.237169366
11.90394736,4.546628793
12.5780064,4.796625923
13.19283863,5.013207396
13.78011291,5.247758525
14.54916118,5.543759346
15.35203864,5.834625941
16.22692051,6.184232794
17.11340395,6.526763224
17.99701856,6.873491345
18.88322806,7.213097115
19.37099051,7.377679282
19.77320302,7.549450653
20.13238091,7.689694624
20.45913187,7.793152957
20.76328437,7.929709032
21.04777361,8.042692523
21.31553573,8.123849092
21.5774971,8.212918293
21.81887994,8.299088455
22.05700651,8.386878599
22.30020491,8.511660381
22.54178879,8.612111651
22.40641231,8.543895218
21.96722464,8.367087818
21.39046724,8.137539191
20.74271843,7.883318384
20.03951235,7.651960975
19.27662743,7.339600137
18.94444455,7.202487769
18.72451753,7.14042043
18.56599891,7.085077424
18.43818584,7.018482893
18.31657084,6.989301201
18.19063713,6.943562428
18.77213434,7.148849293
19.4896115,7.413350502
20.26965853,7.704755991
21.09208414,8.017648694
21.93972825,8.341546089
22.76888741,8.709495865
20.20052057,7.709251006
21.62114066,8.243736684
21.41087457,8.153941986
21.51663022,8.188063261
21.44103237,8.155577827
21.36456985,8.123566531
20.84335545,7.92305472
20.10470238,7.640554245
19.3411649,7.375428039
18.64858038,7.116333716
17.99474348,6.848473361
17.34339154,6.614878754
17.68967265,6.750247687
18.12096092,6.89809084
18.64148641,7.115380163
19.27203757,7.359771531
19.97013397,7.60696516
20.69864255,7.906266397
21.17023703,8.092008616
21.5936134,8.234532545
21.97380818,8.370542911
22.31830596,8.495422094
22.65235057,8.619768385
22.98707644,8.747081085
23.3586446,8.889782615
23.65436639,9.00401912
23.96377267,9.12427952
24.30937331,9.259048779
24.67524234,9.399690949
25.04770202,9.541243815
25.38465966,9.672090193
25.73299193,9.81023227
26.07684088,9.945165412
26.4267227,10.08085289
26.78036949,10.21823143
27.13958734,10.35842742
26.52415131,10.12185201
25.63351815,9.777833921
24.5850844,9.371608793
23.44662208,8.929433565
22.24308928,8.463733755
20.63334573,7.855569825
19.57754969,7.464162822
19.35658818,7.366985401
18.77922577,7.138223892
18.5603758,7.049801135
18.25913517,6.93245947
17.98591636,6.826251991
17.75148948,6.761846985
17.57692477,6.701798796
17.44208332,6.658345939
17.32639153,6.614351166
17.22119249,6.556167993
17.12550716,6.534530961
17.03754344,6.502470565
16.93660431,6.446281705
16.8235663,6.417517107
16.70777743,6.374463532
16.59355938,6.313245989
16.48110823,6.260922791
16.62132887,6.308964334
16.81779799,6.405975845
17.04659968,6.522011297
17.2950787,6.611708146
17.55707027,6.691497038
17.82841829,6.782901669
17.64231233,6.702747809
17.37381502,6.595072313
17.06543297,6.500117154
16.73025606,6.377097591
16.37546826,6.247760319
16.0084279,6.105856875
15.43726288,5.868729698
14.80367816,5.639339227
13.81022151,5.254710142
13.23793668,5.024330134
12.42970791,4.728683101
11.75882689,4.473118681
11.03726794,4.207410986
10.35414471,3.945000083
9.740845563,3.721196089
8.848904306,3.371102143
7.928802207,3.018448413
7.149189346,2.717989672
6.674001902,2.537609886
6.269469955,2.391262403
5.901732218,2.254284554
5.553225738,2.122322714
5.213308338,1.992622285
4.868278575,1.858776859
5.025953691,1.912138303
4.949898019,1.886097251
5.074256647,1.92866474
5.091575737,1.935099662
5.113911594,1.949508271
5.052010905,1.917395267
5.184175392,1.970409712
5.050563773,1.923224706
5.031068083,1.918504031
4.881401623,1.863554168
4.719129965,1.802932549
4.517354675,1.719780425
4.454364118,1.693996362
4.530808521,1.727524286
4.608738508,1.759498291
4.648494905,1.768850801
4.669949273,1.778072598
4.690078068,1.78388489
4.779766247,1.822755845
4.897942971,1.870328251
5.033805714,1.92331412
5.174597031,1.97754972
5.314349994,2.031290585
5.452389074,2.084400547
5.600463573,2.141413521
5.755637368,2.201218168
5.911240887,2.26126594
6.063743765,2.310734392
6.21370296,2.356850025
6.362193957,2.415243568
6.647393572,2.531880792
6.962454977,2.657494365
7.273673992,2.780634484
7.593159705,2.90555
7.920615104,3.016633082
8.330588429,3.169948973
8.611161233,3.277551584
9.025860737,3.446386391
9.481793759,3.612495293
9.892143983,3.768764796
10.24503834,3.900985712
10.56165739,4.023802947
10.85496779,4.126138386
11.1735101,4.264574285
11.50465016,4.401924742
11.83797804,4.511347031
12.16404285,4.650976126
12.48056366,4.763128877
12.78963052,4.861343347
13.06519792,4.974541591
13.30405387,5.066269041
13.52691764,5.156611784
13.74512795,5.230204936
13.73182942,5.223240173
12.88371208,4.905258862
12.89481833,4.924165054
12.32857424,4.697503276
12.16645033,4.636106002
11.92299223,4.557538083
11.76035587,4.485965996
11.69015928,4.458311026
11.48867461,4.376625544
11.30639143,4.308227866
11.23132431,4.293823657
11.22758391,4.297446951
11.24835866,4.292579309
11.27442362,4.299819076
11.19168123,4.263121035
11.09193267,4.226013713
11.04114741,4.220594779
11.02270052,4.204635107
11.01187497,4.199324928
10.99003356,4.18627648
10.97979619,4.183376103
10.96147035,4.190213659
10.92378173,4.166879254
10.88335825,4.15017064
10.84772133,4.131819445
10.82552079,4.124237178
10.70630542,4.09201931
10.59544904,4.040710213
10.51943717,4.010221796
10.46311675,3.983999533
10.41275313,3.971708832
10.3742959,3.955345
10.32448997,3.931453686
10.24502963,3.901591431
10.16130232,3.881954087
10.08116,3.842570037
10.00375185,3.811328088
9.874152625,3.770838161
9.696886349,3.686833104
9.503982138,3.611638369
9.416714384,3.589984408
9.396197387,3.591143689
9.245289285,3.532851554
8.623435858,3.278696243
8.590555125,3.264609969
8.094417343,3.084833385
7.780903454,2.960463899
7.415135854,2.820723507
7.125580022,2.717859761
6.871807691,2.614540001
6.62655219,2.520102515
6.471950666,2.467677971
6.35220858,2.425776435
