Tamb,P(kW),Qch(tons)
9.4,0,0
9.75,0,0
9.65,0,0
9.4,0,0
9.4,0,0
9.4,0,0
9.75,0,0
10,0,0
10,0,0
10,0,0
9.65,0,0
9.108333333,0,0
8.9,0,0
8.9,0,0
8.9,0,0
8.55,0,0
8.3,0,0
8.008333333,0,0
7.158333333,0,0
6.35,0,0
5.458333333,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5.35,0,0
5.6,0,0
5.891666667,0,0
6.1,0,0
6.1,0,0
6.1,0,0
5.808333333,0,0
5.6,0,0
5.6,0,0
4.9,0,0
4.4,0,0
4.108333333,0,0
3.55,0,0
3.008333333,0,0
2.158333333,0,0
0.708333333,0,0
-0.35,0,0
-0.6,0,0
-0.891666667,0,0
-1.1,0,0
-1.1,0,0
-1.1,0,0
-0.808333333,0,0
-0.6,0,0
-0.25,0,0
0.35,0,0
0.891666667,0,0
1.1,0,0
1.45,0,0
1.991666667,0,0
1.558333333,0,0
0.458333333,0,0
-0.35,0,0
-1.241666667,0,0
-1.991666667,0,0
-2.55,0,0
-3.091666667,0,0
-3.65,0,0
-4.191666667,0,0
-4.75,0,0
-5.35,0,0
-5.891666667,0,0
-6.45,0,0
-6.991666667,0,0
-7.55,0,0
-7.8,0,0
-7.8,0,0
-7.45,0,0
-6.558333333,0,0
-5.458333333,0,0
-3.716666667,0,0
-2.158333333,0,0
-1.058333333,0,0
-0.25,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.641666667,0,0
1.1,0,0
1.1,0,0
1.45,0,0
1.7,0,0
1.991666667,0,0
2.2,0,0
2.55,0,0
3.091666667,0,0
3.65,0,0
4.541666667,0,0
5.35,0,0
6.241666667,0,0
6.991666667,0,0
7.2,0,0
7.2,0,0
6.908333333,0,0
6.35,0,0
6.45,0,0
6.35,0,0
5.808333333,0,0
5.891666667,0,0
5.458333333,0,0
4.65,0,0
3.758333333,0,0
3.3,0,0
3.008333333,0,0
2.158333333,0,0
1.058333333,0,0
-0.391666667,0,0
-1.45,0,0
-2.341666667,0,0
-2.8,0,0
-3.091666667,0,0
-3.3,0,0
-3.65,0,0
-3.55,0,0
-3.65,0,0
