timestamp,electricity_cost
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.076
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/16/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.076
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/17/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.076
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/18/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.076
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/19/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.076
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/20/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.076
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/21/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.076
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/22/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.055
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
1/23/2018,0.076
