power,amb_temperature,valid,start,hours
400,25.15107236,TRUE,1,153.1666667
400,25.15666729,TRUE,1,153.3333333
400,25.15334607,TRUE,1,153.5
400,25.14387489,TRUE,1,153.6666667
400,25.13671243,TRUE,1,153.8333333
400,25.1347887,TRUE,1,154
400,25.13584687,TRUE,1,154.1666667
293.9115631,25.13815555,TRUE,1,154.3333333
200,25.14121542,TRUE,1,154.5
200,25.13073484,TRUE,1,154.6666667
200,25.12746393,TRUE,1,154.8333333
200,25.13163486,TRUE,1,155
200,25.13754342,TRUE,1,155.1666667
200,25.14157679,TRUE,1,155.3333333
200,25.14447113,TRUE,1,155.5
200,25.14694605,TRUE,1,155.6666667
200,25.14909133,TRUE,1,155.8333333
200,25.1506923,TRUE,1,156
200,25.15216181,TRUE,1,156.1666667
400,25.15363048,TRUE,1,156.3333333
400,25.18939691,TRUE,1,156.5
400,25.34860654,TRUE,1,156.6666667
400,25.48388674,TRUE,1,156.8333333
400,25.50739953,TRUE,1,157
400,25.44986639,TRUE,1,157.1666667
400,25.40194387,TRUE,1,157.3333333
400,25.4252441,TRUE,1,157.5
400,25.51155831,TRUE,1,157.6666667
400,25.58344781,TRUE,1,157.8333333
400,25.58129131,TRUE,1,158
400,25.51900122,TRUE,1,158.1666667
400,25.47042272,TRUE,1,158.3333333
400,25.49219213,TRUE,1,158.5
400,25.55964029,TRUE,1,158.6666667
400,25.62643072,TRUE,1,158.8333333
400,25.6242595,TRUE,1,159
400,25.56355522,TRUE,1,159.1666667
400,25.51614933,TRUE,1,159.3333333
400,25.53457071,TRUE,1,159.5
400,25.60284473,TRUE,1,159.6666667
400,25.66261708,TRUE,1,159.8333333
400,25.65587005,TRUE,1,160
400,25.60139691,TRUE,1,160.1666667
400,25.55563923,TRUE,1,160.3333333
400,25.57394855,TRUE,1,160.5
400,25.64547685,TRUE,1,160.6666667
400,25.70543488,TRUE,1,160.8333333
400,25.69703428,TRUE,1,161
400,25.64110991,TRUE,1,161.1666667
400,25.59814432,TRUE,1,161.3333333
400,25.61614793,TRUE,1,161.5
400,25.61005106,TRUE,1,161.6666667
400,25.56401307,TRUE,1,161.8333333
400,25.49608885,TRUE,1,162
400,25.42621851,TRUE,1,162.1666667
400,25.38427594,TRUE,1,162.3333333
400,25.40063877,TRUE,1,162.5
400,25.45545245,TRUE,1,162.6666667
400,25.49957487,TRUE,1,162.8333333
400,25.48207401,TRUE,1,163
400,25.42145233,TRUE,1,163.1666667
400,25.37405782,TRUE,1,163.3333333
400,25.38029736,TRUE,1,163.5
400,25.42297815,TRUE,1,163.6666667
400,25.43107961,TRUE,1,163.8333333
400,25.39534636,TRUE,1,164
400,25.35978539,TRUE,1,164.1666667
400,25.34384881,TRUE,1,164.3333333
400,25.35796169,TRUE,1,164.5
400,25.40687501,TRUE,1,164.6666667
400,25.45167369,TRUE,1,164.8333333
400,25.43471591,TRUE,1,165
400,25.36995373,TRUE,1,165.1666667
400,25.31866987,TRUE,1,165.3333333
400,25.29891936,TRUE,1,165.5
400,25.28954282,TRUE,1,165.6666667
400,25.28042823,TRUE,1,165.8333333
400,25.27137734,TRUE,1,166
400,25.26320517,TRUE,1,166.1666667
400,25.2558054,TRUE,1,166.3333333
400,25.24926099,TRUE,1,166.5
400,25.24354182,TRUE,1,166.6666667
400,25.23872266,TRUE,1,166.8333333
400,25.23408585,TRUE,1,167
400,25.22982821,TRUE,1,167.1666667
400,25.2262492,TRUE,1,167.3333333
400,25.22324027,TRUE,1,167.5
400,25.22015987,TRUE,1,167.6666667
400,25.21690043,TRUE,1,167.8333333
400,25.21371147,TRUE,1,168
400,25.21106525,TRUE,1,168.1666667
293.9115631,25.2083663,TRUE,1,168.3333333
200,25.20553547,TRUE,1,168.5
200,25.1881387,TRUE,1,168.6666667
200,25.17674389,TRUE,1,168.8333333
200,25.17306219,TRUE,1,169
200,25.17105785,TRUE,1,169.1666667
200,25.16785038,TRUE,1,169.3333333
200,25.16307638,TRUE,1,169.5
200,25.26859866,TRUE,1,169.6666667
200,25.36202371,TRUE,1,169.8333333
200,25.39494242,TRUE,1,170
200,21.65552305,TRUE,1,378.9166667
200,21.65525861,TRUE,1,379.25
200,21.65350613,TRUE,1,379.6666667
200,21.63398657,TRUE,1,380.1666667
