plf,eff
0.188351577,1.138142138
0.188367914,1.140276392
0.188384251,1.132424764
0.188400588,1.135660154
0.188400588,1.13753579
0.188400588,1.134014703
0.188400588,1.134537738
0.188400588,1.136109742
0.188416925,1.144667136
0.188416925,1.135608836
0.188416925,1.14238904
0.188433263,1.132942933
0.188465937,1.135604681
0.188482274,1.140590939
0.188498611,1.138052456
0.188498611,1.136101166
0.188498611,1.134455293
0.188514949,1.13687438
0.188514949,1.137399737
0.188547623,1.134675545
0.188547623,1.133332292
0.188547623,1.143333168
0.18856396,1.143053037
0.18856396,1.13987768
0.18856396,1.134325718
0.18856396,1.137019901
0.18856396,1.161542808
0.188580297,1.148407768
0.188580297,1.147413873
0.188596635,1.140452357
0.188612972,1.144792805
0.188612972,1.132979958
0.188612972,1.150523264
0.188612972,1.150216191
0.188629309,1.128775172
0.188645646,1.144383137
0.188645646,1.148499623
0.188661983,1.141451706
0.188678321,1.134938964
0.188678321,1.136884402
0.188678321,1.136734516
0.188710995,1.136257256
0.188727332,1.145562996
0.188727332,1.14373994
0.188743669,1.135855348
0.188743669,1.139230958
0.188743669,1.142853794
0.188760007,1.130297341
0.188760007,1.13993183
0.188760007,1.140610136
0.188760007,1.145989658
0.188776344,1.145175989
0.188776344,1.133514319
0.188776344,1.141161548
0.188792681,1.143074832
0.188809018,1.138798108
0.188809018,1.150337159
0.188825355,1.138295684
0.188825355,1.142515781
0.18885803,1.139770678
0.18885803,1.141127009
0.18885803,1.143319013
0.18885803,1.14362202
0.18885803,1.136244299
0.188874367,1.142812332
0.188890704,1.145945796
0.188890704,1.138239165
0.188890704,1.139365986
0.188907041,1.146653819
0.188907041,1.14475312
0.188907041,1.142404986
0.188907041,1.136613993
0.188923379,1.145155836
0.188923379,1.146144022
0.188923379,1.14409354
0.188923379,1.14561171
0.188939716,1.129006397
0.188939716,1.146852151
0.188939716,1.14282944
0.188939716,1.145254864
0.188956053,1.146418347
0.188956053,1.13825771
0.188956053,1.133922914
0.18897239,1.139257198
0.18897239,1.139257198
0.188988727,1.1395812
0.188988727,1.138604631
0.188988727,1.138004497
0.189005065,1.139679712
0.189005065,1.145726961
0.189005065,1.144891662
0.189005065,1.144360742
0.189005065,1.151915537
0.189021402,1.130603307
0.189021402,1.14377771
0.189021402,1.140229591
0.189021402,1.144459658
0.189037739,1.144179581
0.189070413,1.141730951
0.189070413,1.140299456
0.189070413,1.14278804
0.189070413,1.138346374
0.189070413,1.146503314
0.189086751,1.139195194
0.189086751,1.137171224
0.189086751,1.140247499
0.189086751,1.144552029
0.189119425,1.142253329
0.189168437,1.147478382
0.189184774,1.145676512
0.189201111,1.139733922
0.189201111,1.148515081
0.189201111,1.147676582
0.189201111,1.151267847
0.189217448,1.13534245
0.189233785,1.138430051
0.189250123,1.139428358
0.189250123,1.145389211
0.189250123,1.149194238
0.18926646,1.145336398
0.189282797,1.148705761
0.189282797,1.146118243
0.189282797,1.146574016
0.189282797,1.143617952
0.189282797,1.150003906
0.189299134,1.143489881
0.189299134,1.154940046
0.189299134,1.144776146
0.189299134,1.153323238
0.189315471,1.143059724
0.189315471,1.141702081
0.189315471,1.141928131
0.189315471,1.142531368
0.189348146,1.14643798
0.189348146,1.143483634
0.189348146,1.151932458
0.189364483,1.148591349
0.189364483,1.140192006
0.189364483,1.143053593
0.189364483,1.144414101
0.18938082,1.144210193
0.18938082,1.141493609
0.18938082,1.148004748
0.18938082,1.144512834
0.189413495,1.142896539
0.189413495,1.144634612
0.189413495,1.154789799
0.189429832,1.144355014
0.189446169,1.147944053
0.189462506,1.147890838
0.189478843,1.151348077
0.189478843,1.146925387
0.189495181,1.149460381
0.189495181,1.142635057
0.189511518,1.142130742
0.189511518,1.14750316
0.189511518,1.144092259
0.189511518,1.150705069
0.189527855,1.140199173
0.189544192,1.150597701
0.189544192,1.144062804
0.189560529,1.141823774
0.189560529,1.149246575
0.189560529,1.15062045
0.189560529,1.139420725
0.189560529,1.139945527
0.189560529,1.140095559
0.189576867,1.144033361
0.189576867,1.156248599
0.189576867,1.143278473
0.189593204,1.146251134
0.189593204,1.141118103
0.189609541,1.135905318
0.189642215,1.155644607
0.189642215,1.142993789
0.189642215,1.142240531
0.189642215,1.149284385
0.189642215,1.146319961
0.189658553,1.147785125
0.189658553,1.147785125
0.18967489,1.144624899
0.18967489,1.151008837
0.18967489,1.151926646
0.18967489,1.15646058
0.18967489,1.147200324
0.189691227,1.150267863
0.189691227,1.145934115
0.189691227,1.146237172
0.189707564,1.147777729
0.189723901,1.133618169
0.189740239,1.149421134
0.189740239,1.159256411
0.189756576,1.150664131
0.189756576,1.144135756
0.189756576,1.157035812
0.189772913,1.143404504
0.18978925,1.142975492
0.18978925,1.143804554
0.189805587,1.141344115
0.189805587,1.147990815
0.189805587,1.145413615
0.189805587,1.149664604
0.189821925,1.152054077
0.189838262,1.145913446
0.189838262,1.144930413
0.189838262,1.148796629
0.189854599,1.141939363
0.189854599,1.148135289
0.189854599,1.145482481
0.189870936,1.15120484
0.189870936,1.153884019
0.189870936,1.15396075
0.189887273,1.149169309
0.189887273,1.147270107
0.189903611,1.142911105
0.189903611,1.142309335
0.189903611,1.148659698
0.189936285,1.150380008
0.189936285,1.152059618
0.189952622,1.151470946
0.189952622,1.153690022
0.189968959,1.146248141
0.189985297,1.152356898
0.189985297,1.152356898
0.190017971,1.152249205
0.190017971,1.148591271
0.190017971,1.149427494
0.190017971,1.142020123
0.190017971,1.147983872
0.190034308,1.157108138
0.190034308,1.14166786
0.190066983,1.142915944
0.190099657,1.144392419
0.190115994,1.153149645
0.190132331,1.153401831
0.190132331,1.145645569
0.190132331,1.150119266
0.190148669,1.145140032
0.190165006,1.151536359
0.190165006,1.15728714
0.190181343,1.150415739
0.190181343,1.145487769
0.190181343,1.156924348
0.190181343,1.149806933
0.19019768,1.148007168
0.190230355,1.145858487
0.190263029,1.149616362
0.190279366,1.147287916
0.190279366,1.148045302
0.190295703,1.144818548
0.190312041,1.152579452
0.190312041,1.147787813
0.190312041,1.153649699
0.190312041,1.156103457
0.190328378,1.154514479
0.190328378,1.152372948
0.190328378,1.151076605
0.190328378,1.158667132
0.190344715,1.137848309
0.190361052,1.142054348
0.190361052,1.148841517
0.190361052,1.154865976
0.190377389,1.154122385
0.190377389,1.149547375
0.190377389,1.151220661
0.190377389,1.166971769
0.190393727,1.153838751
0.190393727,1.154068325
0.190393727,1.165274373
0.190410064,1.155239999
0.190410064,1.153325956
0.190426401,1.144851236
0.190426401,1.165084247
0.190459075,1.156766
0.190475413,1.154563464
0.190475413,1.148773123
0.19049175,1.149099138
0.190540761,1.162437785
0.190557099,1.147070645
0.190557099,1.150176569
0.190573436,1.148985206
0.190573436,1.1659058
0.190589773,1.155563213
0.19060611,1.154360415
0.19060611,1.15581562
0.190622447,1.156682124
0.190622447,1.159839302
0.190622447,1.158066083
0.190638785,1.152115275
0.190655122,1.155039933
0.190655122,1.149856964
0.190655122,1.166015286
0.190655122,1.169380071
0.190671459,1.153762286
0.190671459,1.146626239
0.190671459,1.150335044
0.190687796,1.156541158
0.190687796,1.155314466
0.190687796,1.156157537
0.190687796,1.171939931
0.190687796,1.164578598
0.190704133,1.151672516
0.190720471,1.144436018
0.190720471,1.155282674
0.190720471,1.153218987
0.190736808,1.145060308
0.190753145,1.145534613
0.190753145,1.156860735
0.190753145,1.15970806
0.190753145,1.156937505
0.190753145,1.180198434
0.190769482,1.153057629
0.190785819,1.156982121
0.190802157,1.162713074
0.190834831,1.157202559
0.190851168,1.157532026
0.190851168,1.15953268
0.190851168,1.162236814
0.190851168,1.155308657
0.190851168,1.155079141
0.190867505,1.153879034
0.190867505,1.170839871
0.19090018,1.156907998
0.19090018,1.167045453
0.190916517,1.15800522
0.190916517,1.148628968
0.190932854,1.158104314
0.190932854,1.15107624
0.190932854,1.148954161
0.190965529,1.15730403
0.190981866,1.155181682
0.190981866,1.16303273
0.190998203,1.158039562
