Date/Time,Regen_Valve,T_OA,CFM_OA,RH_OA,T_CA,RH_CA,T_HW,FanStatus,T_HW_out
 04/19  15:00:00,0,26.24166667,1005.519084,42.66666667,26.43822695,42.16331822,26.57096454,1,26.57096454
 04/19  16:00:00,0,26.7,1005.519084,38.08333333,26.68964279,38.10971194,27.12500229,1,27.12500229
 04/19  17:00:00,0,26.35,1005.519084,37.16666667,26.58741232,36.64724955,26.78504319,1,26.78504319
 04/19  18:00:00,0,25.45833333,0,37.41666667,25.45833333,37.41666667,28.73685307,0,28.73685307
 04/19  19:00:00,0,23.71666667,0,44.58333333,23.71666667,44.58333333,29.4128473,0,29.4128473
 04/19  20:00:00,0,21.51666667,0,60.5,21.51666667,60.5,29.76052118,0,29.76052118
 04/19  21:00:00,0,19.60833333,0,72.66666667,19.60833333,72.66666667,29.10216567,0,29.10216567
 04/19  22:00:00,0,18.25833333,0,78.91666667,18.25833333,78.91666667,28.09802602,0,28.09802602
 04/19  23:00:00,0,16.80833333,0,84.5,16.80833333,84.5,27.30200141,0,27.30200141
 04/19  24:00:00,0,16.1,0,87,16.1,87,26.29862557,0,26.29862557
 04/20  01:00:00,0,16.1,0,87,16.1,87,25.37473617,0,25.37473617
 04/20  02:00:00,0,15.80833333,0,87,15.80833333,87,24.69607787,0,24.69607787
 04/20  03:00:00,0,14.9,0,88.75,14.9,88.75,24.16508892,0,24.16508892
 04/20  04:00:00,0,14.4,0,88.25,14.4,88.25,23.61603964,0,23.61603964
 04/20  05:00:00,0,14.10833333,0,88.75,14.10833333,88.75,23.0246142,0,23.0246142
 04/20  06:00:00,0,13.9,0,90,13.9,90,22.42018021,0,22.42018021
 04/20  07:00:00,0,14.54166667,0,88.25,14.54166667,88.25,21.87301303,0,21.87301303
 04/20  08:00:00,0,15.64166667,0,83.5,15.64166667,83.5,21.83772986,0,21.83772986
 04/20  09:00:00,0,17.38333333,0,76.33333333,17.38333333,76.33333333,21.71586367,0,21.71586367
 04/20  10:00:00,0,19.64166667,0,66,19.64166667,66,22.49681658,0,22.49681658
 04/20  11:00:00,0,21.53333333,0,56.33333333,21.53333333,56.33333333,23.50284032,0,23.50284032
 04/20  12:00:00,0,23.19166667,0,48.91666667,23.19166667,48.91666667,24.95841457,0,24.95841457
 04/20  13:00:00,0,23.9,0,46,23.9,46,26.83948484,0,26.83948484
 04/20  14:00:00,0,23.9,0,47.16666667,23.9,47.16666667,28.12810246,0,28.12810246
 04/20  15:00:00,0,23.9,0,48,23.9,48,29.22791394,0,29.22791394
 04/20  16:00:00,0,24.19166667,0,48,24.19166667,48,30.41221948,0,30.41221948
 04/20  17:00:00,0,23.75833333,0,49.16666667,23.75833333,49.16666667,30.6369786,0,30.6369786
 04/20  18:00:00,0,23.00833333,0,50.58333333,23.00833333,50.58333333,30.35123372,0,30.35123372
 04/20  19:00:00,0,22.45,0,52.16666667,22.45,52.16666667,30.05861554,0,30.05861554
 04/20  20:00:00,0,20.91666667,0,57.66666667,20.91666667,57.66666667,29.11619449,0,29.11619449
 04/20  21:00:00,0,19.35833333,0,65.08333333,19.35833333,65.08333333,28.53772491,0,28.53772491
 04/20  22:00:00,0,18.9,0,69.16666667,18.9,69.16666667,27.61641282,0,27.61641282
 04/20  23:00:00,0,18.55,0,71.75,18.55,71.75,26.85158393,0,26.85158393
 04/20  24:00:00,0,18.3,0,73,18.3,73,26.2020973,0,26.2020973
 04/21  01:00:00,0,17.65833333,0,75.91666667,17.65833333,75.91666667,25.4418878,0,25.4418878
 04/21  02:00:00,0,16.55833333,0,81.5,16.55833333,81.5,24.52580206,0,24.52580206
 04/21  03:00:00,0,15.80833333,0,85.75,15.80833333,85.75,24.16486236,0,24.16486236
 04/21  04:00:00,0,15.6,0,87,15.6,87,23.65380499,0,23.65380499
 04/21  05:00:00,0,15.6,0,87,15.6,87,22.88135337,0,22.88135337
 04/21  06:00:00,0,15.25,0,90.5,15.25,90.5,22.92587218,0,22.92587218
 04/21  07:00:00,0,15,0,93,15,93,22.51191587,0,22.51191587
 04/21  08:00:00,0,15.64166667,0,91.25,15.64166667,91.25,22.3375686,0,22.3375686
 04/21  09:00:00,0,16.74166667,0,88.25,16.74166667,88.25,22.25274851,0,22.25274851
 04/21  10:00:00,0,18.19166667,0,83.5,18.19166667,83.5,22.33603164,0,22.33603164
 04/21  11:00:00,0,19.54166667,0,79.25,19.54166667,79.25,23.26741193,0,23.26741193
 04/21  12:00:00,0,20.64166667,0,75.08333333,20.64166667,75.08333333,23.60233004,0,23.60233004
 04/21  13:00:00,0,21.74166667,0,70.08333333,21.74166667,70.08333333,24.85817525,0,24.85817525
 04/21  14:00:00,0,22.55,0,66.83333333,22.55,66.83333333,25.29597949,0,25.29597949
 04/21  15:00:00,0,22.8,0,67.75,22.8,67.75,26.14423644,0,26.14423644
 04/21  16:00:00,0,22.8,0,67.25,22.8,67.25,27.00225771,0,27.00225771
 04/21  17:00:00,0,22.15833333,0,71.83333333,22.15833333,71.83333333,27.27993677,0,27.27993677
 04/21  18:00:00,0,21.7,0,76,21.7,76,27.54963059,0,27.54963059
 04/21  19:00:00,0,21.7,0,74.25,21.7,74.25,27.683924,0,27.683924
 04/21  20:00:00,0,20.70833333,0,74.75,20.70833333,74.75,27.39854946,0,27.39854946
 04/21  21:00:00,0,19.65,0,78.91666667,19.65,78.91666667,26.84016796,0,26.84016796
 04/21  22:00:00,0,19.4,0,81,19.4,81,26.0295509,0,26.0295509
 04/21  23:00:00,0,19.4,0,79.25,19.4,79.25,25.5527355,0,25.5527355
 04/21  24:00:00,0,18.75833333,0,79.75,18.75833333,79.75,25.02877155,0,25.02877155
 04/22  01:00:00,0,18.00833333,0,81,18.00833333,81,24.55265048,0,24.55265048
 04/22  02:00:00,0,17.45,0,81,17.45,81,24.02649868,0,24.02649868
 04/22  03:00:00,0,17.55,0,81,17.55,81,23.36282862,0,23.36282862
 04/22  04:00:00,0,17.8,0,81,17.8,81,23.1532832,0,23.1532832
 04/22  05:00:00,0,17.45,0,82.75,17.45,82.75,22.96186335,0,22.96186335
 04/22  06:00:00,0,16.90833333,0,85.75,16.90833333,85.75,22.32456997,0,22.32456997
 04/22  07:00:00,0,16.7,0,87,16.7,87,22.18922502,0,22.18922502
 04/22  08:00:00,0.690406494,16.99166667,1253.35717,87,19.98420856,65.43736294,46.11353648,1,41.80394297
 04/22  09:00:00,0.674668178,17.55,1253.35717,87,20.53663948,65.75707244,46.12171934,1,41.79638752
 04/22  10:00:00,0.673376292,18.73333333,1292.612566,81.75,22.04280755,60.83451653,46.18145977,1,41.85483606
 04/22  11:00:00,0.51984814,19.75,1005.519084,76.83333333,23.75668939,54.85751979,46.25219085,1,41.77203899
 04/22  12:00:00,0.500743175,20.64166667,1005.519084,74.25,24.48629104,53.72794291,46.46430088,1,41.96504406
 04/22  13:00:00,0.326977293,21.1,1005.519084,73,24.67611644,55.51625987,38.17707398,1,33.50405127
 04/22  14:00:00,0.493587909,20.80833333,1005.519084,76.5,25.09040597,54.15550869,46.54463441,1,42.03822232
