Date/Time,Outdoor Air Temperature,Building Electric Load,Building Heating Load,Building Cooling Load,ChW Supply Temp,ChW Return Temp,HW Supply Temp,HW Return Temp,HW Mass Flow Rate (kg/s),CHW Mass Flow Rate (kg/s)
 01/08  08:00:00,-21.3,662.4,807.9,0.0,6.7,6.7,82.0,65.8,11.94,0.00
 01/08  09:00:00,-18.7,790.1,678.0,0.0,6.7,6.7,82.0,64.2,9.46,0.00
 01/08  10:00:00,-15.5,794.7,615.8,3.1,6.7,8.8,82.0,63.6,8.13,0.27
 01/08  11:00:00,-13.4,800.6,579.6,18.4,6.7,9.4,82.0,63.5,7.52,1.61
 01/08  12:00:00,-12.4,804.6,557.6,27.5,6.7,9.5,82.0,63.3,7.17,2.40
 01/08  13:00:00,-11.2,805.6,535.1,38.2,6.7,9.6,82.0,63.2,6.84,3.30
 01/08  14:00:00,-10.2,810.7,512.2,46.7,6.7,9.7,82.0,63.0,6.47,3.96
 01/08  15:00:00,-9.6,813.4,495.8,52.5,6.7,9.8,82.0,62.6,6.18,4.35
 01/08  16:00:00,-9.4,809.9,487.5,55.8,6.7,9.7,82.0,62.0,5.93,4.54
 01/08  17:00:00,-9.8,682.0,574.7,54.0,6.7,9.7,82.0,62.9,7.04,4.35
 01/08  18:00:00,-10.0,689.1,600.2,51.3,6.7,9.7,82.0,63.5,7.60,4.12
 01/08  19:00:00,-10.0,687.9,600.2,51.6,6.7,9.7,82.0,63.5,7.74,4.13
 01/08  20:00:00,-9.6,688.6,599.3,54.8,6.7,9.7,82.0,63.5,7.74,4.39
 01/08  21:00:00,-9.1,689.0,593.2,59.8,6.7,9.7,82.0,63.4,7.64,4.75
 01/08  22:00:00,-8.9,690.6,602.2,64.3,6.7,9.7,82.0,63.5,7.74,5.09
 01/08  23:00:00,-8.5,691.6,612.0,74.0,6.7,9.4,82.0,63.8,7.96,6.04
 01/08  24:00:00,-8.7,693.4,610.9,71.1,6.7,9.4,82.0,63.8,8.01,5.97
 01/09  01:00:00,-8.9,705.2,589.8,66.0,6.7,9.4,82.0,63.4,7.63,5.67
 01/09  02:00:00,-8.9,705.7,602.4,64.9,6.7,9.4,82.0,63.5,7.77,5.64
 01/09  03:00:00,-8.5,702.2,595.6,69.4,6.7,9.4,82.0,63.5,7.71,6.08
 01/09  04:00:00,-8.3,699.2,592.9,72.2,6.7,9.4,82.0,63.5,7.64,6.35
 01/09  05:00:00,-8.3,700.2,594.3,72.3,6.7,9.4,82.0,63.5,7.66,6.37
 01/09  06:00:00,-8.3,700.3,595.0,72.2,6.7,9.4,82.0,63.5,7.67,6.38
 01/09  07:00:00,-8.0,700.5,590.3,76.4,6.7,9.4,82.0,63.4,7.60,6.75
 01/09  08:00:00,-7.8,902.0,516.7,73.0,6.7,9.7,82.0,62.3,6.46,6.27
 01/09  09:00:00,-6.4,1127.2,434.4,94.6,6.7,9.8,82.0,61.0,5.16,7.77
 01/09  10:00:00,-4.5,1165.8,379.2,122.6,6.7,9.9,82.0,60.3,4.32,9.68
 01/09  11:00:00,-3.2,1162.0,348.1,142.9,6.7,9.9,82.0,60.2,3.88,10.94
 01/09  12:00:00,-1.4,1157.9,321.6,168.4,6.7,10.0,82.0,60.4,3.56,12.59
 01/09  13:00:00,0.2,1109.5,301.5,191.4,6.7,10.0,82.0,60.5,3.34,14.01
