Time (HH:MM),GHI (W/m^2),TotCld (tenths)
15:00,317,9
16:00,79,9
17:00,140,10
18:00,18,9
19:00,0,9
20:00,0,7
21:00,0,9
22:00,0,9
23:00,0,9
24:00:00,0,9
1:00,0,9
2:00,0,7
3:00,0,7
4:00,0,9
5:00,0,8
6:00,0,8
7:00,0,9
8:00,1,7
9:00,55,8
10:00,122,8
11:00,233,8
12:00,245,8
13:00,434,8
14:00,249,8
15:00,337,9
16:00,228,8
17:00,207,9
18:00,28,9
19:00,0,9
20:00,0,9
21:00,0,9
22:00,0,10
23:00,0,9
24:00:00,0,9
1:00,0,9
2:00,0,9
3:00,0,9
4:00,0,9
5:00,0,10
6:00,0,9
7:00,0,9
8:00,0,9
9:00,45,9
10:00,127,10
11:00,207,9
12:00,484,10
13:00,644,9
14:00,663,7
15:00,536,3
16:00,439,3
17:00,273,3
18:00,39,3
19:00,0,3
20:00,0,3
21:00,0,8
22:00,0,8
23:00,0,8
24:00:00,0,9
1:00,0,10
2:00,0,10
3:00,0,9
4:00,0,10
5:00,0,9
6:00,0,10
7:00,0,10
8:00,2,10
9:00,66,10
10:00,56,10
11:00,223,10
12:00,114,10
13:00,361,10
14:00,637,10
15:00,549,7
16:00,406,9
17:00,292,9
18:00,44,10
19:00,0,9
20:00,0,7
21:00,0,8
22:00,0,5
23:00,0,3
24:00:00,0,3
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,2,0
9:00,160,0
10:00,349,0
11:00,520,0
12:00,632,0
13:00,674,3
14:00,650,3
15:00,569,3
16:00,459,3
17:00,278,0
18:00,44,0
19:00,0,0
20:00,0,5
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,10,9
9:00,128,8
10:00,346,5
11:00,487,4
12:00,592,6
13:00,623,7
14:00,596,9
15:00,491,8
16:00,344,8
17:00,164,7
18:00,40,4
19:00,0,4
20:00,0,6
21:00,0,4
22:00,0,3
23:00,0,2
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,1
4:00,0,3
5:00,0,0
6:00,0,0
7:00,0,0
8:00,27,0
9:00,154,0
10:00,342,0
11:00,506,0
12:00,619,1
13:00,665,0
14:00,638,2
15:00,585,4
16:00,394,2
17:00,228,0
18:00,56,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,26,0
9:00,156,0
10:00,348,0
11:00,518,0
12:00,625,0
13:00,673,0
14:00,658,0
15:00,570,0
16:00,426,0
17:00,235,0
18:00,56,0
19:00,0,1
20:00,0,2
21:00,0,4
22:00,0,6
23:00,0,8
24:00:00,0,9
1:00,0,10
2:00,0,10
3:00,0,8
4:00,0,10
5:00,0,8
6:00,0,10
7:00,0,8
8:00,18,8
9:00,121,7
10:00,317,6
11:00,449,8
12:00,368,9
13:00,245,10
14:00,333,10
15:00,541,5
16:00,354,4
17:00,216,4
18:00,43,7
19:00,0,4
20:00,0,2
21:00,0,1
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,37,0
9:00,178,0
10:00,370,0
11:00,539,0
12:00,647,0
13:00,702,0
14:00,656,2
15:00,551,4
16:00,406,4
17:00,242,4
18:00,67,0
19:00,0,0
20:00,0,0
21:00,0,0
22:00,0,3
23:00,0,5
24:00:00,0,5
1:00,0,3
2:00,0,7
3:00,0,8
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,9
8:00,18,9
9:00,132,8
10:00,236,7
11:00,420,5
12:00,652,5
13:00,589,5
14:00,449,9
15:00,216,9
16:00,245,9
17:00,125,9
18:00,38,9
19:00,0,9
20:00,0,9
21:00,0,10
22:00,0,9
23:00,0,4
24:00:00,0,2
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,36,0
9:00,178,0
10:00,382,0
11:00,552,0
12:00,666,0
13:00,715,0
14:00,652,3
15:00,604,7
16:00,367,8
17:00,248,3
18:00,45,9
19:00,0,9
20:00,0,9
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,9
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,34,10
9:00,121,10
10:00,242,10
11:00,221,10
12:00,166,10
13:00,183,10
14:00,177,10
15:00,174,10
16:00,215,10
17:00,84,10
18:00,31,10
19:00,1,10
20:00,0,10
21:00,0,10
22:00,0,10
23:00,0,10
24:00:00,0,10
1:00,0,10
2:00,0,10
3:00,0,10
4:00,0,10
5:00,0,10
6:00,0,10
7:00,0,10
8:00,15,10
9:00,56,10
10:00,118,10
11:00,292,10
12:00,194,10
13:00,342,10
14:00,386,10
15:00,403,9
16:00,259,8
17:00,182,7
18:00,36,7
19:00,0,7
20:00,0,6
21:00,0,7
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,3
3:00,0,2
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,39,0
9:00,187,1
10:00,392,3
11:00,565,2
12:00,677,0
13:00,726,0
14:00,708,0
15:00,626,3
16:00,469,1
17:00,243,6
18:00,72,7
19:00,4,6
20:00,0,7
21:00,0,7
22:00,0,4
23:00,0,3
