timestamp,tempm,elec_load,heat_load,cool_load,
1/7/2012 0:00,10.80833333,426.0185843,277.2601699,227.4175537,
1/7/2012 1:00,10.6,425.9044179,305.2762742,220.9862589,
1/7/2012 2:00,10.6,426.0192379,294.5743669,227.0549481,
1/7/2012 3:00,10.6,426.1896417,298.5593499,234.3006678,
1/7/2012 4:00,10.6,426.7699563,317.3379796,235.0592204,
1/7/2012 5:00,10.6,426.7458976,314.3690983,235.0687326,
1/7/2012 6:00,10.89166667,426.7986698,322.2505784,236.5279919,
1/7/2012 7:00,11.1,412.9725072,316.9652341,236.9561477,
1/7/2012 8:00,11.1,543.8044486,277.3076038,241.7925661,
1/7/2012 9:00,11.1,544.267757,268.8182039,249.8468253,
1/7/2012 10:00,11.45,544.3692703,265.336791,249.5157539,
1/7/2012 11:00,11.35,545.2471867,246.4543795,242.0099687,
1/7/2012 12:00,11.1,543.663568,242.5821191,231.9615649,
1/7/2012 13:00,10.45833333,543.2888992,239.3557585,226.4338653,
1/7/2012 14:00,10,543.161561,254.2238284,229.1955316,
1/7/2012 15:00,10.64166667,543.5793696,277.2767601,261.0686882,
1/7/2012 16:00,11.1,415.5275751,302.7570074,263.1674188,
1/7/2012 17:00,10.80833333,429.0448604,329.4235001,258.8751501,
1/7/2012 18:00,10.6,428.7371907,340.1056315,255.5375675,
1/7/2012 19:00,10.6,429.2890402,343.8460759,255.897235,
1/7/2012 20:00,10.6,429.7136606,345.2828116,255.931409,
1/7/2012 21:00,10.6,479.2258646,317.9105411,277.8456212,
1/7/2012 22:00,10.89166667,533.0238142,301.6781233,303.217334,
1/7/2012 23:00,11.1,543.6997888,298.6438563,302.4212867,
1/8/2012 0:00,10.80833333,558.4505339,300.7939618,298.3624846,
1/8/2012 1:00,9.9,536.7465544,298.0158588,288.0367485,
1/8/2012 2:00,8.116666667,514.2654744,314.76761,264.7977576,
1/8/2012 3:00,6.908333333,529.0999206,331.8002844,258.5862363,
1/8/2012 4:00,6.7,525.0558251,335.8887044,258.4983514,
1/8/2012 5:00,6.058333333,535.2511913,347.7455865,254.2059494,
1/8/2012 6:00,5.6,533.6665836,349.8807889,248.9652647,
1/8/2012 7:00,6.241666667,681.0036262,313.6366598,236.8410673,
1/8/2012 8:00,8.275,871.7366362,260.0858734,232.781798,
1/8/2012 9:00,10.74166667,914.208088,210.3578478,260.8022743,
1/8/2012 10:00,13.275,927.9466528,155.4252954,426.3891677,
1/8/2012 11:00,14.75,972.3373594,96.26072866,591.1581663,
1/8/2012 12:00,15,925.7818265,113.9876946,627.3726679,
1/8/2012 13:00,15,963.1257538,106.1218692,641.1927802,
1/8/2012 14:00,15.35,954.1524513,101.8348101,642.9211917,
1/8/2012 15:00,15.6,955.7146406,96.28220317,652.7067328,
1/8/2012 16:00,15.25,704.8903307,130.2226741,591.3333683,
1/8/2012 17:00,14.00833333,710.4010796,165.8486208,553.5849607,
1/8/2012 18:00,13.3,709.4891539,158.137931,525.0134393,
1/8/2012 19:00,13.00833333,787.1930365,120.313844,491.5572811,
1/8/2012 20:00,12.15833333,786.4858615,158.0037908,313.1016844,
1/8/2012 21:00,10.35833333,731.1541951,200.7211754,291.8326894,
1/8/2012 22:00,9.4,700.4973691,219.6732675,283.0931364,
1/8/2012 23:00,9.4,582.6084181,245.2907052,285.379279,
1/9/2012 0:00,8.758333333,574.5486933,261.3483949,280.0587437,
1/9/2012 1:00,8.008333333,582.3883409,270.8598796,272.2307392,
1/9/2012 2:00,7.8,585.2017771,290.7843804,270.6581468,
1/9/2012 3:00,7.8,584.6215823,299.8666172,271.1017655,
1/9/2012 4:00,6.808333333,587.8364941,294.8684224,263.2333575,
1/9/2012 5:00,6.741666667,592.7072173,308.9186812,259.9595453,
1/9/2012 6:00,7.2,594.5874973,316.2114471,267.0700478,
1/9/2012 7:00,7.55,782.991558,263.9710557,269.6863116,
1/9/2012 8:00,9.433333333,1003.659536,202.0928062,287.6325343,
1/9/2012 9:00,11.88333333,1033.251689,159.1124897,315.3258968,
1/9/2012 10:00,13.73333333,1062.942128,130.9630608,656.1089395,
1/9/2012 11:00,15.1,1008.564567,167.9176784,714.2150404,
