timestamp,natural_gas_cost
1/15/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/16/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/17/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/18/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/19/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/20/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/21/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/22/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/23/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/24/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/25/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/26/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/27/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/28/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/29/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/30/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
1/31/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/1/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/2/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/3/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
2/4/2018,6.884
