Qin(MMBtu/h),Qch(MMBtu/h)
1.544503596,1.176373034
1.961299856,1.491638928
1.8782561,1.428247466
1.850428971,1.407208133
1.464264409,1.1163278
1.534262363,1.169461274
1.566278601,1.193786317
1.983004184,1.509334899
1.895490753,1.442100569
1.865426142,1.419147926
1.476602999,1.125997675
1.548046423,1.180145697
1.580120103,1.204454937
1.997923281,1.521067839
1.908065524,1.451854117
1.877492067,1.428442571
1.486883848,1.133790525
1.559264977,1.188522022
1.591819972,1.213093215
2.011107125,1.530877641
1.918810676,1.459581506
1.886816774,1.434986431
1.494599851,1.139198201
1.567786029,1.194583522
1.599949481,1.218916658
2.018550933,1.536318835
1.923348548,1.462814351
1.889430648,1.43679483
1.496729892,1.140691695
1.570451507,1.196493835
1.602348925,1.220641963
2.018742724,1.536380404
1.920248487,1.460380835
1.884327824,1.432861163
1.493350184,1.138111997
1.568286144,1.194840576
1.600739402,1.219412883
2.014549888,1.533121414
1.913245655,1.455022105
1.875983532,1.426507078
2.078463173,1.582110326
2.078746803,1.58221591
1.945493497,1.479188345
1.882053741,1.430722882
1.858022047,1.412480495
1.848538174,1.405321444
1.468721067,1.119305204
1.545696401,1.177654771
1.580674674,1.204174212
1.983466671,1.509029257
1.872905332,1.424217308
1.826652182,1.389024628
1.802112939,1.370420283
1.783438485,1.356297175
1.766028769,1.343154361
1.755830071,1.335138448
1.747640969,1.32844065
1.740485907,1.322682794
2.080180629,1.581969266
2.080051798,1.582122414
1.891684597,1.437374568
1.808365168,1.3743022
1.782352376,1.354811774
1.773425459,1.348223729
1.768660594,1.344728139
1.765635486,1.342505857
1.763019276,1.340582646
1.76056343,1.338772466
1.758213898,1.337036126
1.756336141,1.335344638
1.755013076,1.333873848
1.753593145,1.332460656
1.752076248,1.331070304
1.750488411,1.329696538
1.74883282,1.328322838
1.747154465,1.326969298
1.745388419,1.325651829
1.743547644,1.32434463
1.741829555,1.32311085
1.740193258,1.321924993
1.738513274,1.320695933
